incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
815510963,C17040200,8/14/2017 12:26,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,S 135 & MILITARY RD S,,SEATAC,WA,98168,,47.4824191,-122.2951596,8/16/2017 5:37,9/14/2017 5:32,POINT (-122.2951596 47.4824191),12,Monday,Property Crime
815753389,C17040226,8/14/2017 12:45,"ROBBERY, MISC","ROBBERY, MISC",,6900 Block S 123 ST,,SEATTLE,WA,98178,,47.491766,-122.246952,8/19/2017 5:30,9/13/2017 5:32,POINT (-122.246952 47.491766),12,Monday,Robbery
815670892,C17040391,8/14/2017 12:53,"LARCENY, NSC","LARCENY, NSC",,1100 Block 1 AV N,,KENT,WA,98032,,47.3920522,-122.2334563,8/18/2017 5:30,9/14/2017 5:32,POINT (-122.2334563 47.3920522),12,Monday,Theft
816327088,C17041391,8/14/2017 13:00,"LARCENY, TFA","LARCENY, TFA",,16200 Block 309 AV NE,,DUVALL,WA,98019,,47.7431555,-121.9258667,8/23/2017 5:30,9/20/2017 5:32,POINT (-121.9258667 47.7431555),13,Monday,Theft from Vehicle
815510960,C17040290,8/14/2017 13:34,ILLEGAL DUMPING,ILLEGAL DUMPING,,25300 Block SE 248 ST,,MAPLE VALLEY,WA,98038,,47.3799931,-122.0308999,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.0308999 47.3799931),13,Monday,Property Crime
815510958,C17040222,8/14/2017 14:05,TRESPASS,TRESPASS,,17400 Block SE 272 ST,,COVINGTON,WA,98042,,47.3582011,-122.1096847,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.1096847 47.3582011),14,Monday,Property Crime
815510957,C17040233,8/14/2017 14:30,MAIL THEFT,MAIL THEFT,,15600 Block 4 AV SW,,BURIEN,WA,98166,,47.4632368,-122.3392198,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3392198 47.4632368),14,Monday,Property Crime
815510956,C17040248,8/14/2017 15:00,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,10200 Block ISSAQUAH RENTON RD SE,,ISSAQUAH,WA,98027,,47.5105848,-122.0837344,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.0837344 47.5105848),15,Monday,Property Crime
815670891,C17040645,8/14/2017 15:00,"THEFT, AUTO","THEFT, AUTO",,12400 Block DES MOINES MEMORIAL DR S,,BURIEN,WA,98168,,47.4918392,-122.3096845,8/18/2017 5:30,9/15/2017 5:32,POINT (-122.3096845 47.4918392),15,Monday,Theft of Vehicle
815510954,C17040259,8/14/2017 15:34,VANDALISM OVER $1500,VANDALISM OVER $1500,,1200 Block N 173 ST,,SHORELINE,WA,98133,,47.7541469,-122.3435367,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3435367 47.7541469),15,Monday,Property Crime
